Date	Hour	operator1	Sonar5_filter	Sonar5	data_cleaning	data_work_HV_hall_filtre	data_work_HV_taille	data_work_HV_hydrophyte	data_work_HV_sup3.8m	data_work_HV_taille_et_3m
2020-12-15	14	0	0	0	0	0	0	0	0	0
2020-12-15	15	0	0	0	0	0	0	0	0	0
2020-12-15	16	44	58	63	57	50	60	50	60	60
2020-12-15	17	26	26	37	25	24	32	24	27	32
2020-12-15	18	27	28	33	27	24	32	26	28	32
2020-12-15	19	14	11	25	11	9	18	9	11	18
2020-12-15	20	4	5	5	5	5	5	5	5	5
2020-12-15	21	17	8	18	8	7	11	7	8	11
2020-12-15	22	28	33	49	30	26	43	26	39	43
2020-12-15	23	17	50	74	40	22	52	40	27	41
2020-12-16	0	36	55	63	51	40	58	40	57	58
2020-12-16	1	9	30	47	23	16	33	21	22	31
2020-12-16	2	14	14	21	10	9	15	10	12	14
2020-12-16	3	6	8	9	6	6	6	6	6	6
2020-12-16	4	0	0	0	0	0	0	0	0	0
2020-12-16	5	17	18	21	17	14	18	14	18	18
2020-12-16	6	22	11	15	10	9	14	9	14	14
2020-12-16	7	19	24	31	20	17	25	17	24	25
2020-12-16	8	8	19	20	17	12	19	12	19	19
2020-12-16	9	0	1	0	0	1	1	1	1	1
2020-12-16	10	0	2	0	0	1	2	2	1	1
2020-12-16	11	0	0	0	0	0	0	0	0	0
2020-12-16	12	0	0	0	0	0	0	0	0	0
2020-12-16	13	0	0	0	0	0	0	0	0	0
2020-12-16	14	0	0	0	0	0	1	1	0	1
2020-12-16	15	0	0	0	0	0	0	0	0	0
2020-12-16	16	30	35	38	34	29	37	29	37	37
2020-12-16	17	102	127	170	120	102	144	108	126	140
2020-12-16	18	80	82	129	73	59	93	65	77	88
2020-12-16	19	123	133	222	115	105	184	109	144	182
2020-12-16	20	132	93	133	91	70	130	71	116	130
2020-12-16	21	72	67	105	59	40	80	47	61	78
2020-12-16	22	71	83	179	70	55	125	59	74	124
2020-12-16	23	49	67	158	59	49	81	52	65	81
2020-12-17	0	149	249	458	214	193	320	200	228	315
2020-12-17	1	115	220	455	190	157	300	185	183	283
2020-12-17	2	311	500	701	425	374	538	376	484	537
2020-12-17	3	249	489	748	430	393	569	404	455	564
2020-12-17	4	196	468	715	378	329	490	332	405	489
2020-12-17	5	159	386	893	322	293	531	306	339	526
2020-12-17	6	26	94	217	73	71	130	72	81	129
2020-12-17	7	54	51	60	48	32	56	32	52	56
2020-12-17	8	2	0	0	0	0	0	0	0	0
2020-12-17	9	0	0	0	0	0	0	0	0	0
2020-12-17	10	4	2	2	2	1	2	1	2	2
2020-12-17	11	0	0	0	0	0	0	0	0	0
2020-12-17	12	0	0	0	0	0	0	0	0	0
2020-12-17	13	0	0	0	0	0	0	0	0	0
2020-12-17	14	0	0	0	0	0	0	0	0	0
2020-12-17	15	19	23	26	20	20	22	20	21	22
2020-12-17	16	36	32	38	30	27	34	27	33	34
2020-12-17	17	635	497	662	453	402	556	410	497	550
2020-12-17	18	276	256	357	223	187	279	198	234	270
2020-12-17	19	487	376	491	351	287	423	298	376	412
2020-12-17	20	410	310	413	283	227	348	229	322	348
2020-12-17	21	226	160	208	146	128	180	128	171	180
2020-12-17	22	307	293	344	274	241	304	243	291	302
2020-12-17	23	373	422	665	396	328	504	338	423	497
2020-12-18	0	264	291	389	274	225	341	227	294	339
2020-12-18	1	104	135	206	124	113	159	115	132	158
2020-12-18	2	150	162	200	151	118	172	121	158	170
2020-12-18	3	143	193	264	171	162	216	165	181	215
2020-12-18	4	277	280	390	252	210	328	217	278	324
2020-12-18	5	408	386	499	361	316	440	317	411	440
2020-12-18	6	343	319	403	294	257	361	266	326	354
2020-12-18	7	284	316	488	289	248	364	258	305	362
2020-12-18	8	23	31	125	32	29	34	29	30	34
2020-12-18	9	0	8	0	0	2	8	3	2	8
2020-12-18	10	0	0	0	0	0	3	0	0	3
2020-12-18	11	0	0	0	0	0	0	0	0	0
2020-12-18	12	0	4	0	0	4	4	4	4	4
2020-12-18	13	0	1	0	0	0	2	0	1	2
2020-12-18	14	0	0	0	0	0	0	0	0	0
2020-12-18	15	0	0	0	0	0	0	0	0	0
2020-12-18	16	60	35	23	34	27	39	27	39	39
2020-12-18	17	513	282	355	270	223	313	225	292	312
2020-12-18	18	423	342	443	324	277	379	284	347	374
2020-12-18	19	358	331	518	305	270	402	275	347	398
2020-12-18	20	408	429	596	384	360	474	361	428	474
2020-12-18	21	571	577	825	517	443	636	450	573	632
2020-12-18	22	312	461	582	418	322	504	323	465	504
2020-12-18	23	360	483	654	444	361	555	380	466	545
2020-12-19	0	270	466	793	396	360	590	398	413	568
2020-12-19	1	109	81	104	78	76	97	76	93	97
2020-12-19	2	57	76	108	65	52	85	52	71	85
2020-12-19	3	113	116	150	100	90	120	95	107	119
2020-12-19	4	81	144	201	124	98	159	100	137	158
2020-12-19	5	50	53	70	49	40	58	40	53	58
2020-12-19	6	64	80	147	72	61	114	64	82	113
2020-12-19	7	98	138	224	124	109	184	112	143	184
2020-12-19	8	88	116	138	101	91	117	91	111	117
2020-12-19	9	1	0	0	0	0	0	0	0	0
2020-12-19	10	0	0	0	0	0	0	0	0	0
2020-12-19	11	0	0	0	0	0	0	0	0	0
2020-12-19	12	0	0	0	0	0	0	0	0	0
2020-12-19	13	0	0	0	0	0	0	0	0	0
2020-12-19	14	0	0	0	0	0	0	0	0	0
2020-12-19	15	0	0	0	0	0	0	0	0	0
2020-12-19	16	14	12	18	12	6	16	9	13	16
2020-12-19	17	429	271	318	251	212	291	213	283	290
2020-12-19	18	312	246	430	216	169	327	188	223	316
2020-12-19	19	199	233	360	201	179	269	192	212	257
2020-12-19	20	201	208	344	193	157	262	164	204	258
2020-12-19	21	213	167	246	154	131	209	135	171	208
2020-12-19	22	166	142	183	129	101	155	101	145	155
2020-12-19	23	246	281	365	263	224	312	224	290	312
2020-12-20	0	209	285	443	254	214	352	231	261	347
2020-12-20	1	299	376	559	343	291	454	295	382	453
2020-12-20	2	350	484	729	433	363	566	381	459	556
2020-12-20	3	207	238	310	221	177	271	177	253	271
2020-12-20	4	125	173	257	140	128	201	130	165	201
2020-12-20	5	147	174	278	150	126	212	131	167	209
2020-12-20	6	84	155	226	134	90	171	103	133	163
2020-12-20	7	87	129	200	108	84	143	97	101	135
2020-12-20	8	0	0	0	0	0	0	0	0	0
2020-12-20	9	0	0	0	0	0	0	0	0	0
2020-12-20	10	0	0	0	0	0	0	0	0	0
2020-12-20	11	0	0	0	0	0	0	0	0	0
2020-12-20	12	0	0	0	0	0	0	0	0	0
2020-12-20	13	0	0	0	0	0	0	0	0	0
2020-12-20	14	0	0	0	0	0	0	0	0	0
2020-12-20	15	0	0	0	0	0	0	0	0	0
2020-12-20	16	145	75	109	70	58	83	65	67	76
2020-12-20	17	671	554	802	494	418	636	451	510	618
2020-12-20	18	633	691	1021	580	498	758	505	662	755
2020-12-20	19	541	855	1509	773	682	1135	709	842	1122
2020-12-20	20	495	651	1122	578	477	847	512	598	834
2020-12-20	21	533	611	859	549	485	672	491	593	671
2020-12-20	22	558	777	1012	719	624	848	624	779	848
2020-12-20	23	413	748	1170	656	596	988	635	747	968
2020-12-21	0	297	453	703	381	361	538	368	423	535
2020-12-21	1	315	437	670	396	324	530	337	423	525
2020-12-21	2	58	61	86	59	57	75	57	66	75
2020-12-21	3	13	11	31	7	7	17	7	10	17
2020-12-21	4	42	43	47	42	31	44	31	44	44
2020-12-21	5	71	90	156	79	68	88	71	82	85
2020-12-21	6	200	183	373	164	148	221	151	178	220
2020-12-21	7	264	357	519	326	283	414	297	349	408
2020-12-21	8	7	6	25	5	5	8	5	5	8
2020-12-21	9	0	0	0	0	0	0	0	0	0
2020-12-21	10	0	0	0	0	0	0	0	0	0
2020-12-21	11	0	0	0	0	0	0	0	0	0
2020-12-21	12	0	0	0	0	0	0	0	0	0
2020-12-21	13	0	0	0	0	0	0	0	0	0
2020-12-21	14	1	2	2	2	2	2	2	2	2
2020-12-21	15	12	9	10	8	8	9	8	9	9
2020-12-21	16	14	11	22	11	10	11	10	11	11
2020-12-21	17	180	213	530	163	161	251	165	207	251
2020-12-21	18	316	693	1571	577	454	807	520	644	748
2020-12-21	19	208	270	2489	237	157	723	188	532	695
2020-12-21	20	149	203	2493	192	115	602	145	288	573
2020-12-21	21	78	220	1368	182	166	308	176	192	303
2020-12-21	22	62	116	540	97	90	129	92	100	127
2020-12-21	23	66	132	1108	98	58	146	79	88	125
2020-12-22	0	110	140	1076	103	104	169	108	125	167
2020-12-22	1	106	143	656	116	92	155	101	127	148
2020-12-22	2	104	119	207	111	82	137	83	130	137
2020-12-22	3	41	67	275	65	66	88	67	72	88
2020-12-22	4	35	57	116	46	43	59	43	54	59
2020-12-22	5	11	28	44	24	19	26	19	25	26
2020-12-22	6	14	44	66	39	34	51	34	44	51
2020-12-22	7	11	40	51	34	28	36	28	35	36
2020-12-22	8	0	0	0	0	0	0	0	0	0
2020-12-22	9	0	0	0	0	0	0	0	0	0
2020-12-22	10	0	0	0	0	0	0	0	0	0
2020-12-22	11	0	0	0	0	0	0	0	0	0
2020-12-22	12	0	0	0	0	0	0	0	0	0
2020-12-22	13	0	0	0	0	0	0	0	0	0
2020-12-22	14	0	0	0	0	0	0	0	0	0
2020-12-22	15	2	29	58	25	4	26	25	5	6
2020-12-22	16	171	274	415	281	221	287	227	271	281
2020-12-22	17	101	179	264	169	158	190	161	176	189
2020-12-22	18	3	7	12	7	4	7	4	7	7
2020-12-22	19	4	21	37	19	17	24	18	19	24
2020-12-22	20	4	9	15	9	2	15	2	9	15
2020-12-22	21	5	10	44	10	10	13	10	13	13
2020-12-22	22	5	18	20	16	14	16	14	16	16
2020-12-22	23	0	0	0	0	0	0	0	0	0
2020-12-23	0	0	0	0	0	0	0	0	0	0
2020-12-23	1	0	0	0	0	0	0	0	0	0
2020-12-23	2	1	2	3	2	2	3	2	3	3
2020-12-23	3	0	0	0	0	0	0	0	0	0
2020-12-23	4	0	0	0	0	0	0	0	0	0
2020-12-23	5	1	3	3	3	3	3	3	3	3
2020-12-23	6	0	0	0	0	0	0	0	0	0
2020-12-23	7	0	0	0	0	0	0	0	0	0
2020-12-23	8	0	0	0	0	0	0	0	0	0
2020-12-23	9	0	0	0	0	0	0	0	0	0
2020-12-23	10	0	0	0	0	0	0	0	0	0
2020-12-23	11	0	0	0	0	0	0	0	0	0
2020-12-23	12	0	0	0	0	0	0	0	0	0
2020-12-23	13	0	0	0	0	0	0	0	0	0
2020-12-23	14	6	6	180	6	6	9	6	6	9
2020-12-23	15	66	51	745	51	49	93	49	55	93
2020-12-23	16	36	26	79	26	23	27	23	27	27
2020-12-23	17	555	597	1438	510	453	726	502	531	689
2020-12-23	18	291	337	1863	321	269	518	270	333	517
2020-12-23	19	227	300	2097	279	216	575	227	348	569
2020-12-23	20	328	274	1611	248	221	440	225	309	438
2020-12-23	21	322	291	1934	288	224	603	233	354	595
2020-12-23	22	260	147	1592	145	105	299	120	202	285
2020-12-23	23	0	0	0	0	0	0	0	0	0
2020-12-24	0	0	0	0	0	0	0	0	0	0
2020-12-24	1	0	0	0	0	0	0	0	0	0
2020-12-24	2	0	0	0	0	0	0	0	0	0
2020-12-24	3	0	0	0	0	0	0	0	0	0
2020-12-24	4	0	0	0	0	0	0	0	0	0
2020-12-24	5	0	0	0	0	0	0	0	0	0
2020-12-24	6	0	0	0	0	0	0	0	0	0
2020-12-24	7	0	0	0	0	0	0	0	0	0
2020-12-24	8	0	0	0	0	0	0	0	0	0
2020-12-24	9	0	0	0	0	0	0	0	0	0
2020-12-24	10	0	0	0	0	0	0	0	0	0
2020-12-24	11	0	0	0	0	0	0	0	0	0
2020-12-24	12	0	0	0	0	0	0	0	0	0
2020-12-24	13	0	0	0	0	0	0	0	0	0
2020-12-24	14	0	0	0	0	0	0	0	0	0
2020-12-24	15	0	0	0	0	0	0	0	0	0
2020-12-24	16	0	0	0	0	0	0	0	0	0
2020-12-24	17	0	0	0	0	0	0	0	0	0
2020-12-24	18	0	0	0	0	0	0	0	0	0
2020-12-24	19	0	0	0	0	0	0	0	0	0
2020-12-24	20	0	0	0	0	0	0	0	0	0
2020-12-24	21	0	0	0	0	0	0	0	0	0
2020-12-24	22	0	0	0	0	0	0	0	0	0
2020-12-24	23	0	0	0	0	0	0	0	0	0
2020-12-25	0	0	0	0	0	0	0	0	0	0
2020-12-25	1	0	0	0	0	0	0	0	0	0
2020-12-25	2	0	0	0	0	0	0	0	0	0
2020-12-25	3	0	0	0	0	0	0	0	0	0
2020-12-25	4	0	0	0	0	0	0	0	0	0
2020-12-25	5	0	0	0	0	0	0	0	0	0
2020-12-25	6	0	0	0	0	0	0	0	0	0
2020-12-25	7	0	0	0	0	0	0	0	0	0
2020-12-25	8	0	0	0	0	0	0	0	0	0
2020-12-25	9	0	0	0	0	0	0	0	0	0
2020-12-25	10	0	0	0	0	0	0	0	0	0
2020-12-25	11	0	0	0	0	0	0	0	0	0
2020-12-25	12	0	0	0	0	0	0	0	0	0
2020-12-25	13	0	0	0	0	0	0	0	0	0
2020-12-25	14	0	0	0	0	0	0	0	0	0
2020-12-25	15	0	0	0	0	0	0	0	0	0
2020-12-25	16	0	0	0	0	0	0	0	0	0
2020-12-25	17	0	0	0	0	0	0	0	0	0
2020-12-25	18	0	0	0	0	0	0	0	0	0
2020-12-25	19	0	0	0	0	0	0	0	0	0
2020-12-25	20	0	0	0	0	0	0	0	0	0
2020-12-25	21	0	0	0	0	0	0	0	0	0
2020-12-25	22	0	0	0	0	0	0	0	0	0
2020-12-25	23	0	0	0	0	0	0	0	0	0
