all	with_fish	Time	Frame	Operateur1	Operateur2
1	NA	15/12/2020 14:30	454	0	0
2	NA	15/12/2020 15:00	74	0	0
3	1	15/12/2020 16:00	592	44	51
4	2	15/12/2020 17:00	289	26	29
5	3	15/12/2020 18:00	348	27	32
6	4	15/12/2020 19:00	263	14	18
7	5	15/12/2020 20:00	80	4	4
8	6	15/12/2020 21:00	149	17	18
9	7	15/12/2020 22:00	422	28	28
10	8	15/12/2020 23:00	511	17	21
11	9	16/12/2020 00:00	552	36	40
12	10	16/12/2020 01:00	463	9	10
13	11	16/12/2020 02:00	235	14	13
14	12	16/12/2020 03:00	104	6	5
15	13	16/12/2020 05:00	540	17	16
16	14	16/12/2020 06:00	306	22	19
17	15	16/12/2020 07:00	272	19	22
18	16	16/12/2020 08:00	141	8	8
19	NA	16/12/2020 09:40	21	0	0
20	NA	16/12/2020 10:30	82	0	0
21	NA	16/12/2020 12:50	9	0	0
22	NA	16/12/2020 13:30	9	0	0
23	NA	16/12/2020 13:40	50	0	0
24	NA	16/12/2020 14:20	10	0	0
25	NA	16/12/2020 15:10	36	0	0
26	NA	16/12/2020 15:40	10	0	0
27	NA	16/12/2020 16:20	24	0	0
28	17	16/12/2020 16:40	80	6	8
29	18	16/12/2020 16:50	298	24	26
30	19	16/12/2020 17:00	175	13	17
31	20	16/12/2020 17:10	84	8	8
32	21	16/12/2020 17:20	319	28	30
33	22	16/12/2020 17:30	360	25	28
34	23	16/12/2020 17:40	270	12	13
35	24	16/12/2020 17:50	429	16	18
36	25	16/12/2020 18:00	489	15	12
37	26	16/12/2020 18:10	294	25	24
38	27	16/12/2020 18:20	172	5	6
39	28	16/12/2020 18:30	258	15	16
40	29	16/12/2020 18:40	223	10	11
41	30	16/12/2020 18:50	149	10	9
42	31	16/12/2020 19:00	209	9	11
43	32	16/12/2020 19:10	186	11	10
44	33	16/12/2020 19:20	203	8	10
45	34	16/12/2020 19:30	192	11	10
46	35	16/12/2020 19:40	483	41	39
47	36	16/12/2020 19:50	466	43	46
48	37	16/12/2020 20:00	236	22	24
49	38	16/12/2020 20:10	120	15	16
50	39	16/12/2020 20:20	189	18	23
51	40	16/12/2020 20:30	245	29	27
52	41	16/12/2020 20:40	220	30	34
53	42	16/12/2020 20:50	332	18	19
54	43	16/12/2020 21:00	328	25	24
55	44	16/12/2020 21:10	185	10	12
56	45	16/12/2020 21:20	160	13	18
57	46	16/12/2020 21:30	84	7	9
58	47	16/12/2020 21:40	189	11	18
59	48	16/12/2020 21:50	108	6	7
60	49	16/12/2020 22:00	184	13	16
61	NA	16/12/2020 22:10	9	0	1
62	50	16/12/2020 22:20	20	1	1
63	51	16/12/2020 22:30	47	3	3
64	52	16/12/2020 22:40	287	21	23
65	53	16/12/2020 22:50	639	33	32
66	54	16/12/2020 23:00	339	19	19
67	55	16/12/2020 23:10	237	7	9
68	56	16/12/2020 23:20	481	4	5
69	57	16/12/2020 23:30	63	2	4
70	58	16/12/2020 23:40	220	8	7
71	59	16/12/2020 23:50	56	9	9
72	60	17/12/2020 00:00	289	24	24
73	61	17/12/2020 00:10	270	14	18
74	62	17/12/2020 00:20	126	8	6
75	63	17/12/2020 00:30	765	29	27
76	64	17/12/2020 00:40	712	40	41
77	65	17/12/2020 00:50	698	34	31
78	66	17/12/2020 01:00	249	17	17
79	67	17/12/2020 01:10	468	30	28
80	68	17/12/2020 01:20	855	26	28
81	69	17/12/2020 01:30	403	13	15
82	70	17/12/2020 01:40	489	17	26
83	71	17/12/2020 01:50	436	12	10
84	72	17/12/2020 02:00	769	58	53
85	73	17/12/2020 02:10	507	50	53
86	74	17/12/2020 02:20	727	49	53
87	75	17/12/2020 02:30	829	42	52
88	76	17/12/2020 02:40	1142	68	70
89	77	17/12/2020 02:50	934	44	43
90	78	17/12/2020 03:00	732	31	33
91	79	17/12/2020 03:10	703	26	33
92	80	17/12/2020 03:20	954	40	39
93	81	17/12/2020 03:30	912	52	57
94	82	17/12/2020 03:40	1028	63	61
95	83	17/12/2020 03:50	963	37	41
96	84	17/12/2020 04:00	893	47	44
97	85	17/12/2020 04:10	686	39	45
98	86	17/12/2020 04:20	593	35	35
99	87	17/12/2020 04:30	1142	33	33
100	88	17/12/2020 04:40	938	23	24
101	89	17/12/2020 04:50	802	19	22
102	90	17/12/2020 05:00	594	15	17
103	91	17/12/2020 05:10	803	26	33
104	92	17/12/2020 05:20	1250	35	35
105	93	17/12/2020 05:30	895	27	34
106	94	17/12/2020 05:40	881	31	29
107	95	17/12/2020 05:50	1327	25	22
108	96	17/12/2020 06:00	1064	11	12
109	97	17/12/2020 06:10	237	1	1
110	98	17/12/2020 06:20	11	2	2
111	99	17/12/2020 06:30	134	2	2
112	100	17/12/2020 06:40	118	2	2
113	101	17/12/2020 06:50	156	8	8
114	102	17/12/2020 07:00	265	11	13
115	103	17/12/2020 07:10	183	12	11
116	104	17/12/2020 07:20	153	11	7
117	105	17/12/2020 07:30	130	16	13
118	106	17/12/2020 07:40	42	4	4
119	NA	17/12/2020 07:50	209	0	0
120	107	17/12/2020 08:00	11	2	2
121	NA	17/12/2020 08:10	20	0	0
122	NA	17/12/2020 08:30	232	0	0
123	NA	17/12/2020 08:40	9	0	0
124	NA	17/12/2020 09:50	9	0	0
125	NA	17/12/2020 10:00	9	0	0
126	NA	17/12/2020 10:30	9	0	0
127	NA	17/12/2020 10:40	11	0	0
128	108	17/12/2020 10:50	48	4	3
129	NA	17/12/2020 11:50	9	0	0
130	NA	17/12/2020 13:40	36	0	0
131	109	17/12/2020 15:30	32	3	3
132	110	17/12/2020 15:50	170	16	17
133	111	17/12/2020 16:00	46	3	2
134	112	17/12/2020 16:20	146	7	7
135	113	17/12/2020 16:30	64	6	5
136	114	17/12/2020 16:40	100	6	8
137	115	17/12/2020 16:50	171	14	13
138	116	17/12/2020 17:00	343	56	57
139	117	17/12/2020 17:10	490	65	62
140	118	17/12/2020 17:20	618	181	178
141	119	17/12/2020 17:30	926	133	139
142	120	17/12/2020 17:40	853	129	124
143	121	17/12/2020 17:50	654	71	64
144	122	17/12/2020 18:00	432	32	28
145	123	17/12/2020 18:10	429	38	34
146	124	17/12/2020 18:20	521	60	56
147	125	17/12/2020 18:30	548	52	48
148	126	17/12/2020 18:40	502	44	43
149	127	17/12/2020 18:50	565	50	52
150	128	17/12/2020 19:00	732	73	58
151	129	17/12/2020 19:10	622	74	63
152	130	17/12/2020 19:20	745	92	90
153	131	17/12/2020 19:30	698	70	80
154	132	17/12/2020 19:40	532	67	61
155	133	17/12/2020 19:50	1018	111	121
156	134	17/12/2020 20:00	619	75	70
157	135	17/12/2020 20:10	801	92	75
158	136	17/12/2020 20:20	549	78	71
159	137	17/12/2020 20:30	541	52	50
160	138	17/12/2020 20:40	494	49	50
161	139	17/12/2020 20:50	628	64	60
162	140	17/12/2020 21:00	534	63	57
163	141	17/12/2020 21:10	304	36	31
164	142	17/12/2020 21:20	370	46	36
165	143	17/12/2020 21:30	207	17	16
166	144	17/12/2020 21:40	300	34	32
167	145	17/12/2020 21:50	233	30	28
168	146	17/12/2020 22:00	669	74	84
169	147	17/12/2020 22:10	440	48	52
170	148	17/12/2020 22:20	573	56	52
171	149	17/12/2020 22:30	451	47	45
172	150	17/12/2020 22:40	207	22	21
173	151	17/12/2020 22:50	516	60	63
174	152	17/12/2020 23:00	247	17	18
175	153	17/12/2020 23:10	713	70	69
176	154	17/12/2020 23:20	872	77	70
177	155	17/12/2020 23:30	973	99	101
178	156	17/12/2020 23:40	355	30	26
179	157	17/12/2020 23:50	870	80	81
180	158	18/12/2020 00:00	1009	97	97
181	159	18/12/2020 00:10	486	48	44
182	160	18/12/2020 00:20	390	27	25
183	161	18/12/2020 00:30	387	33	32
184	162	18/12/2020 00:40	336	27	22
185	163	18/12/2020 00:50	504	32	37
186	164	18/12/2020 01:00	188	13	11
187	165	18/12/2020 01:10	341	22	21
188	166	18/12/2020 01:20	575	32	32
189	167	18/12/2020 01:30	223	14	12
190	168	18/12/2020 01:40	285	16	18
191	169	18/12/2020 01:50	168	7	6
192	170	18/12/2020 02:00	566	46	40
193	171	18/12/2020 02:10	377	31	33
194	172	18/12/2020 02:20	478	29	28
195	173	18/12/2020 02:30	345	20	19
196	174	18/12/2020 02:40	178	13	11
197	175	18/12/2020 02:50	170	11	13
198	176	18/12/2020 03:00	227	14	15
199	177	18/12/2020 03:10	208	21	18
200	178	18/12/2020 03:20	139	13	11
201	179	18/12/2020 03:30	187	8	9
202	180	18/12/2020 03:40	672	31	40
203	181	18/12/2020 03:50	764	56	60
204	182	18/12/2020 04:00	473	25	30
205	183	18/12/2020 04:10	347	32	28
206	184	18/12/2020 04:20	432	38	34
207	185	18/12/2020 04:30	564	60	57
208	186	18/12/2020 04:40	852	91	85
209	187	18/12/2020 04:50	476	31	30
210	188	18/12/2020 05:00	649	49	55
211	189	18/12/2020 05:10	630	60	56
212	190	18/12/2020 05:20	640	59	63
213	191	18/12/2020 05:30	843	81	70
214	192	18/12/2020 05:40	812	93	102
215	193	18/12/2020 05:50	668	66	59
216	194	18/12/2020 06:00	459	37	36
217	195	18/12/2020 06:10	569	60	59
218	196	18/12/2020 06:20	312	31	29
219	197	18/12/2020 06:30	627	66	56
220	198	18/12/2020 06:40	527	63	62
221	199	18/12/2020 06:50	893	86	81
222	200	18/12/2020 07:00	1055	102	97
223	201	18/12/2020 07:10	714	49	46
224	202	18/12/2020 07:20	794	71	67
225	203	18/12/2020 07:30	620	43	39
226	204	18/12/2020 07:40	50	5	5
227	205	18/12/2020 07:50	747	14	14
228	206	18/12/2020 08:00	1514	13	14
229	207	18/12/2020 08:10	151	10	10
230	NA	18/12/2020 08:20	98	0	0
231	NA	18/12/2020 08:30	602	0	0
232	NA	18/12/2020 09:20	18	0	0
233	NA	18/12/2020 09:50	304	0	0
234	NA	18/12/2020 10:00	230	0	0
235	NA	18/12/2020 10:10	155	0	0
236	NA	18/12/2020 10:20	128	0	0
237	NA	18/12/2020 11:10	14	0	0
238	NA	18/12/2020 11:20	12	0	0
239	NA	18/12/2020 11:30	10	0	0
240	NA	18/12/2020 12:10	9	0	0
241	NA	18/12/2020 12:30	10	0	0
242	NA	18/12/2020 12:40	28	0	0
243	NA	18/12/2020 13:00	23	0	0
244	NA	18/12/2020 13:40	141	0	0
245	NA	18/12/2020 14:40	40	0	0
246	NA	18/12/2020 15:10	64	0	0
247	NA	18/12/2020 15:40	83	0	0
248	NA	18/12/2020 16:10	10	0	0
249	208	05/01/2021 16:40	14	1	1
250	NA	05/01/2021 18:00	24	0	0
251	NA	05/01/2021 18:10	25	0	0
252	NA	05/01/2021 18:30	9	0	0
253	NA	05/01/2021 19:00	18	0	0
254	NA	05/01/2021 19:10	9	0	0
255	209	05/01/2021 20:00	243	1	1
256	NA	05/01/2021 20:10	334	0	1
257	NA	05/01/2021 20:50	80	0	1
258	210	05/01/2021 21:00	66	3	3
259	211	05/01/2021 21:30	52	2	3
260	212	05/01/2021 22:10	19	1	1
261	NA	05/01/2021 22:50	12	0	0
262	213	05/01/2021 23:10	45	1	1
263	NA	05/01/2021 23:20	28	0	0
264	NA	05/01/2021 23:30	14	0	0
265	214	05/01/2021 23:40	22	2	2
266	215	06/01/2021 00:30	19	2	2
267	216	06/01/2021 02:00	30	2	2
268	217	06/01/2021 02:50	23	1	1
269	218	06/01/2021 03:00	26	1	1
270	219	06/01/2021 03:20	10	1	1
271	220	06/01/2021 03:30	31	2	3
272	NA	06/01/2021 03:50	12	0	0
273	NA	06/01/2021 04:30	9	0	1
274	221	06/01/2021 04:40	12	1	1
275	NA	06/01/2021 06:20	11	0	0
276	NA	06/01/2021 08:30	21	0	0
277	NA	06/01/2021 08:40	29	0	0
278	NA	06/01/2021 09:40	33	0	0
279	NA	06/01/2021 10:10	9	0	0
280	NA	06/01/2021 11:20	482	0	0
281	NA	06/01/2021 13:50	26	0	0
282	NA	06/01/2021 14:20	112	0	0
283	NA	06/01/2021 18:10	9	0	0
284	222	06/01/2021 19:30	59	4	4
285	NA	06/01/2021 20:20	18	0	0
286	NA	06/01/2021 20:50	77	0	0
287	NA	06/01/2021 21:00	22	0	0
288	NA	06/01/2021 23:10	43	0	0
289	NA	06/01/2021 23:20	114	0	0
290	NA	06/01/2021 23:30	9	0	0
291	NA	07/01/2021 05:40	9	0	0
292	NA	07/01/2021 07:50	9	0	0
293	NA	07/01/2021 09:50	26	0	0
294	NA	07/01/2021 11:00	9	0	0
295	NA	07/01/2021 12:20	31	0	0
