Date	Hour	Effectif
2023-11-29	18	1
2023-11-29	19	10
2023-11-29	20	26
2023-11-29	21	2
2023-11-29	22	20
2023-11-29	23	37
2023-11-30	00	20
2023-11-30	01	5
2023-11-30	02	0
2023-11-30	03	15
2023-11-30	04	0
2023-11-30	05	8
2023-11-30	06	24
2023-11-30	07	2
2023-11-30	08	0
2023-11-30	09	0
2023-11-30	10	0
2023-11-30	11	4
2023-11-30	12	0
2023-11-30	13	1
2023-11-30	14	2
2023-11-30	15	0
2023-11-30	16	0
2023-11-30	17	12
2023-11-30	18	7
2023-11-30	19	7
2023-11-30	20	26
2023-11-30	21	155
2023-11-30	22	28
2023-11-30	23	28
2023-12-01	00	14
2023-12-01	01	0
2023-12-01	02	0
2023-12-01	03	2
2023-12-01	04	1
2023-12-01	05	3
2023-12-01	06	0
2023-12-01	07	0
2023-12-01	08	0
2023-12-01	09	0
2023-12-01	10	0
2023-12-01	11	0
2023-12-01	12	0
2023-12-01	13	0
2023-12-01	14	0
2023-12-01	15	0
2023-12-01	16	0
2023-12-01	17	13
2023-12-01	18	17
2023-12-01	19	48
2023-12-01	20	12
2023-12-01	21	8
2023-12-01	22	1
2023-12-01	23	0
2023-12-02	00	15
2023-12-02	01	0
2023-12-02	02	16
2023-12-02	03	3
2023-12-02	04	0
2023-12-02	05	0
2023-12-02	06	0
2023-12-02	07	0
2023-12-02	08	2
2023-12-02	09	0
2023-12-02	10	0
2023-12-02	11	1
2023-12-02	12	0
2023-12-02	13	0
2023-12-02	14	10
2023-12-02	15	0
2023-12-02	16	9
2023-12-02	17	45
2023-12-02	18	0
2023-12-02	19	0
2023-12-02	20	1
2023-12-02	21	0
2023-12-02	22	5
2023-12-02	23	0
2023-12-03	00	0
2023-12-03	01	0
2023-12-03	02	1
2023-12-03	03	0
2023-12-03	04	0
2023-12-03	05	70
2023-12-03	06	44
2023-12-03	07	0
2023-12-03	08	0
2023-12-03	09	0
2023-12-03	10	0
2023-12-03	11	0
2023-12-03	12	0
2023-12-03	13	0
2023-12-03	14	0
2023-12-03	15	0
2023-12-03	16	0
2023-12-03	17	10
2023-12-03	18	5
2023-12-03	19	0
2023-12-03	20	12
2023-12-03	21	135
2023-12-03	22	7
2023-12-03	23	2
2023-12-04	00	0
2023-12-04	01	0
2023-12-04	02	7
2023-12-04	03	0
2023-12-04	04	0
2023-12-04	05	0
2023-12-04	06	0
2023-12-04	07	0
2023-12-04	08	0
2023-12-04	09	0
2023-12-04	10	0
2023-12-04	11	0
2023-12-04	12	0
2023-12-04	13	0
2023-12-04	14	0
2023-12-04	15	0
2023-12-04	16	0
2023-12-04	17	24
2023-12-04	18	20
2023-12-04	19	0
2023-12-04	20	0
2023-12-04	21	0
2023-12-04	22	2
2023-12-04	23	0
2023-12-05	00	0
2023-12-05	01	0
2023-12-05	02	0
2023-12-05	03	38
2023-12-05	04	17
2023-12-05	05	0
2023-12-05	06	9
2023-12-05	07	18
2023-12-05	08	6
2023-12-05	09	2
2023-12-05	10	6
2023-12-05	11	13
2023-12-05	12	9
2023-12-05	13	4
2023-12-05	14	25
2023-12-05	15	80
2023-12-05	16	85
2023-12-05	17	32
2023-12-05	18	45
2023-12-05	19	0
2023-12-05	20	30
2023-12-05	21	0
2023-12-05	22	0
2023-12-05	23	0
2023-12-06	00	0
2023-12-06	01	0
2023-12-06	02	0
2023-12-06	03	6
2023-12-06	04	0
2023-12-06	05	1
2023-12-06	06	0
2023-12-06	07	4
2023-12-06	08	50
2023-12-06	09	0
2023-12-06	10	0
2023-12-06	11	0
2023-12-06	12	0
2023-12-06	13	0
2023-12-06	14	0
2023-12-06	15	0
2023-12-06	16	0
2023-12-06	17	4
2023-12-06	18	10
2023-12-06	19	0
2023-12-06	20	0
2023-12-06	21	0
2023-12-06	22	6
2023-12-06	23	0
2023-12-07	00	0
2023-12-07	01	18
2023-12-07	02	0
2023-12-07	03	0
2023-12-07	04	0
2023-12-07	05	0
2023-12-07	06	0
2023-12-07	07	0
2023-12-07	08	7
2023-12-07	09	0
2023-12-07	10	0
2023-12-07	11	0
2023-12-07	12	10
2023-12-07	13	0
2023-12-07	14	0
2023-12-07	15	0
2023-12-07	16	0
2023-12-07	17	12
2023-12-07	18	26
2023-12-07	19	30
2023-12-07	20	1
2023-12-07	21	0
2023-12-07	22	0
2023-12-07	23	0
2023-12-08	00	2
2023-12-08	01	2
2023-12-08	02	1
2023-12-08	03	0
2023-12-08	04	1
2023-12-08	05	0
2023-12-08	06	0
2023-12-08	07	0
2023-12-08	08	1
2023-12-08	09	0
2023-12-08	10	0
2023-12-08	11	0
2023-12-08	12	0
2023-12-08	13	0
2023-12-08	14	0
2023-12-08	15	0
2023-12-08	16	0
2023-12-08	17	0
2023-12-08	18	3
2023-12-08	19	0
2023-12-08	20	0
2023-12-08	21	10
2023-12-08	22	12
2023-12-08	23	77
2023-12-09	00	0
2023-12-09	01	12
2023-12-09	02	1
2023-12-09	03	0
2023-12-09	04	0
2023-12-09	05	8
