Date	Hour	Effectif
29/11/2023	18	1
29/11/2023	19	0
29/11/2023	20	19
29/11/2023	21	2
29/11/2023	22	1
29/11/2023	23	7
30/11/2023	0	2
30/11/2023	1	0
30/11/2023	2	0
30/11/2023	3	6
30/11/2023	4	0
30/11/2023	5	0
30/11/2023	6	0
30/11/2023	7	0
30/11/2023	8	0
30/11/2023	9	0
30/11/2023	10	0
30/11/2023	11	0
30/11/2023	12	0
30/11/2023	13	0
30/11/2023	14	0
30/11/2023	15	0
30/11/2023	16	0
30/11/2023	17	1
30/11/2023	18	0
30/11/2023	19	0
30/11/2023	20	9
30/11/2023	21	2
30/11/2023	22	6
30/11/2023	23	0
01/12/2023	0	0
01/12/2023	1	0
01/12/2023	2	0
01/12/2023	3	0
01/12/2023	4	0
01/12/2023	5	0
01/12/2023	6	0
01/12/2023	7	0
01/12/2023	8	0
01/12/2023	9	0
01/12/2023	10	0
01/12/2023	11	0
01/12/2023	12	0
01/12/2023	13	0
01/12/2023	14	0
01/12/2023	15	0
01/12/2023	16	0
01/12/2023	17	18
01/12/2023	18	0
01/12/2023	19	0
01/12/2023	20	1
01/12/2023	21	8
01/12/2023	22	1
01/12/2023	23	0
02/12/2023	0	3
02/12/2023	1	0
02/12/2023	2	0
02/12/2023	3	0
02/12/2023	4	0
02/12/2023	5	0
02/12/2023	6	0
02/12/2023	7	0
02/12/2023	8	2
02/12/2023	9	0
02/12/2023	10	0
02/12/2023	11	1
02/12/2023	12	0
02/12/2023	13	0
02/12/2023	14	0
02/12/2023	15	0
02/12/2023	16	0
02/12/2023	17	33
02/12/2023	18	0
02/12/2023	19	0
02/12/2023	20	1
02/12/2023	21	0
02/12/2023	22	5
02/12/2023	23	0
03/12/2023	0	0
03/12/2023	1	0
03/12/2023	2	1
03/12/2023	3	0
03/12/2023	4	0
03/12/2023	5	0
03/12/2023	6	0
03/12/2023	7	0
03/12/2023	8	0
03/12/2023	9	0
03/12/2023	10	0
03/12/2023	11	0
03/12/2023	12	0
03/12/2023	13	0
03/12/2023	14	0
03/12/2023	15	0
03/12/2023	16	0
03/12/2023	17	10
03/12/2023	18	5
03/12/2023	19	0
03/12/2023	20	0
03/12/2023	21	0
03/12/2023	22	0
03/12/2023	23	0
04/12/2023	0	0
04/12/2023	1	0
04/12/2023	2	2
04/12/2023	3	0
04/12/2023	4	0
04/12/2023	5	0
04/12/2023	6	0
04/12/2023	7	0
04/12/2023	8	0
04/12/2023	9	0
04/12/2023	10	0
04/12/2023	11	0
04/12/2023	12	0
04/12/2023	13	0
04/12/2023	14	0
04/12/2023	15	0
04/12/2023	16	0
04/12/2023	17	0
04/12/2023	18	0
04/12/2023	19	0
04/12/2023	20	0
04/12/2023	21	0
04/12/2023	22	0
04/12/2023	23	0
05/12/2023	0	0
05/12/2023	1	0
05/12/2023	2	0
05/12/2023	3	0
05/12/2023	4	0
05/12/2023	5	0
05/12/2023	6	0
05/12/2023	7	0
05/12/2023	8	6
05/12/2023	9	0
05/12/2023	10	0
05/12/2023	11	0
05/12/2023	12	0
05/12/2023	13	0
05/12/2023	14	0
05/12/2023	15	0
05/12/2023	16	15
05/12/2023	17	17
05/12/2023	18	8
05/12/2023	19	0
05/12/2023	20	0
05/12/2023	21	0
05/12/2023	22	0
05/12/2023	23	0
06/12/2023	0	0
06/12/2023	1	0
06/12/2023	2	0
06/12/2023	3	6
06/12/2023	4	0
06/12/2023	5	1
06/12/2023	6	0
06/12/2023	7	0
06/12/2023	8	0
06/12/2023	9	0
06/12/2023	10	0
06/12/2023	11	0
06/12/2023	12	0
06/12/2023	13	0
06/12/2023	14	0
06/12/2023	15	0
06/12/2023	16	0
06/12/2023	17	0
06/12/2023	18	0
06/12/2023	19	0
06/12/2023	20	0
06/12/2023	21	0
06/12/2023	22	6
06/12/2023	23	0
07/12/2023	0	0
07/12/2023	1	0
07/12/2023	2	0
07/12/2023	3	0
07/12/2023	4	0
07/12/2023	5	0
07/12/2023	6	0
07/12/2023	7	0
07/12/2023	8	0
07/12/2023	9	0
07/12/2023	10	0
07/12/2023	11	0
07/12/2023	12	0
07/12/2023	13	0
07/12/2023	14	0
07/12/2023	15	0
07/12/2023	16	0
07/12/2023	17	12
07/12/2023	18	10
07/12/2023	19	0
07/12/2023	20	1
07/12/2023	21	0
07/12/2023	22	0
07/12/2023	23	0
