NUM_POSTE;AN;MOIS;JOUR;V;VX;GVX
74281004;2023;12;1;1.2;6.0;10
74281004;2023;12;2;1.2;8.0;30
74281004;2023;12;3;1.2;6.0;50
74281004;2023;12;4;0.4;2.0;110
74281004;2023;12;5;1.9;8.0;260
74281004;2023;12;6;0.6;4.0;290
74281004;2023;12;7;0.7;4.0;30
74281004;2023;12;8;0.3;2.0;130
74281004;2023;12;9;1.7;15.0;280
74281004;2023;12;10;1.9;11.0;260
74281004;2023;12;11;1.6;12.0;230
74281004;2023;12;12;0.8;5.0;310
74281004;2023;12;13;1.1;14.0;270
74281004;2023;12;14;0.4;3.0;270
74281004;2023;12;15;1.4;8.0;10
74281004;2023;12;16;2.4;9.0;40
74281004;2023;12;17;0.9;5.0;50
74281004;2023;12;18;0.7;4.0;300
74281004;2023;12;19;0.7;5.0;300
74281004;2023;12;20;0.8;6.0;280
74281004;2023;12;21;2.7;10.0;260
74281004;2023;12;22;2.3;9.0;260
74281004;2023;12;23;2.1;10.0;240
74281004;2023;12;24;0.7;4.0;30
74281004;2023;12;25;0.6;3.0;30
74281004;2023;12;26;0.7;4.0;250
74281004;2023;12;27;0.6;2.0;230
74281004;2023;12;28;0.8;5.0;250
74281004;2023;12;29;0.6;4.0;190
74281004;2023;12;30;0.6;3.0;260
74281004;2023;12;31;1.2;13.0;260
